date,price,volume,market_cap
2023-12-07 00:00:00,3.637896011516013,151582400.16708085,1362558018.8998482
2023-12-08 00:00:00,3.640535631508219,101783798.36185546,1363216324.8530335
2023-12-09 00:00:00,3.8869980936050634,137928102.62595677,1454826764.4225483
2023-12-10 00:00:00,3.7111711056963412,114603543.60991415,1387193916.5843837
2023-12-11 00:00:00,3.7894732228027275,81152426.49217579,1418105963.3005512
2023-12-12 00:00:00,3.9265950414594095,203170116.54265743,1461475051.3843486
2023-12-13 00:00:00,4.181857003285077,247957715.32125172,1567294502.868377
2023-12-14 00:00:00,4.1338300261948815,200940765.66913497,1550789987.1784043
2023-12-15 00:00:00,4.598755785341436,270926529.0042215,1720431638.561704
2023-12-16 00:00:00,4.35165096032577,153384969.95177492,1633349049.3663058
2023-12-17 00:00:00,4.396485859392805,130399757.52113119,1641750018.1333358
2023-12-18 00:00:00,4.200955230705034,92601546.67581218,1572304237.2673025
2023-12-19 00:00:00,4.4163932826418515,139180312.16796798,1654140783.9046986
2023-12-20 00:00:00,4.183861215293251,115242968.25920829,1563718757.427122
2023-12-21 00:00:00,4.466470225584508,130091256.02370372,1671113798.2961125
2023-12-22 00:00:00,4.301968963009993,119163258.25807276,1610034674.9356194
2023-12-23 00:00:00,4.473603781223505,128993528.0475205,1674982188.1715105
2023-12-24 00:00:00,4.7906533865226875,184660074.30430642,1794425371.340053
2023-12-25 00:00:00,4.609823166944852,130047079.12565234,1725522957.646854
2023-12-26 00:00:00,4.633442168419983,91505157.14674315,1734824761.8469286
2023-12-27 00:00:00,5.172708221689212,295405633.2596847,1936315180.1397223
2023-12-28 00:00:00,4.981448742523579,185871314.72585508,1859820968.4522402
2023-12-29 00:00:00,4.561564555002714,152896037.0566377,1710491139.140177
2023-12-30 00:00:00,4.607543980499496,135294444.63991264,1723748430.8187113
2023-12-31 00:00:00,4.554695073399842,73825097.03372018,1704348838.6443486
2024-01-01 00:00:00,4.4681655397794895,73962282.18353193,1673589311.942743
2024-01-02 00:00:00,4.750013406657092,94339813.2485807,1775503413.1136832
2024-01-03 00:00:00,4.663013584525548,125854529.68511753,1742791540.729579
2024-01-04 00:00:00,4.412440003367231,184661062.108352,1652077929.649626
2024-01-05 00:00:00,4.39680139857411,110797595.6371436,1644615190.818923
2024-01-06 00:00:00,3.9928403900134906,161262369.88081896,1493021027.76988
2024-01-07 00:00:00,3.790122564306951,94246744.92176919,1418584703.3340404
2024-01-08 00:00:00,3.6132282211203557,78287067.40490521,1345771221.6775331
2024-01-09 00:00:00,4.057163566726955,199094356.54100806,1519945272.745825
2024-01-10 00:00:00,3.8717978839655682,157785037.71591792,1446870931.3028266
2024-01-11 00:00:00,4.229821200424128,163663074.9022278,1592558978.6287355
2024-01-12 00:00:00,4.077233889381531,144721748.71658406,1529741023.6498322
2024-01-13 00:00:00,3.8316972204438464,120406655.47636849,1439164308.0279367
