date,price,volume
2023-12-25,4.609823166944852,130047079.12565234
2023-12-26,4.633442168419983,91505157.14674315
2023-12-27,5.172708221689212,295405633.2596847
2023-12-28,4.981448742523579,185871314.72585508
2023-12-29,4.561564555002714,152896037.0566377
2023-12-30,4.607543980499496,135294444.63991264
2023-12-31,4.554695073399842,73825097.03372018
2024-01-01,4.4681655397794895,73962282.18353193
2024-01-02,4.750013406657092,94339813.2485807
2024-01-03,4.663013584525548,125854529.68511753
2024-01-04,4.412440003367231,184661062.108352
2024-01-05,4.39680139857411,110797595.6371436
2024-01-06,3.9928403900134906,161262369.88081896
2024-01-07,3.790122564306951,94246744.92176919
2024-01-08,3.6132282211203557,78287067.40490521
2024-01-09,4.057163566726955,199094356.54100806
2024-01-10,3.8717978839655682,157785037.71591792
2024-01-11,4.229821200424128,163663074.9022278
2024-01-12,4.077233889381531,144721748.71658406
